Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market sell,2021-03-15 14:44:37,US3202091092,FFBC,First Financial Bancorp,1,25.41,USD,1.38852,0.32,GBP,18.3,GBP,,,,,0,,EOF1193733470,,,GBP
Market sell,2021-03-15 18:17:19,US72919P2020,PLUG,Plug Power,1,46.28,USD,1.38978,-0.26,GBP,33.3,GBP,,,,,,,EOF1195465550,,,
Market buy,2021-03-15 18:22:20,US38113L1070,GNOG,Golden Nugget Online Gaming,2,17.98,USD,1.38948,,GBP,25.88,GBP,,,,,,,EOF1195466631,,,
Market buy,2021-03-15 18:24:58,CA22717L1013,CRON,Cronos,4,10.82,USD,1.3894,,GBP,31.15,GBP,,,,,,,EOF1197317240,,,
Market sell,2021-03-15 18:57:33,US25401T6038,DBRG,DigitalBridge,6,6.69,USD,1.3894,0.42,GBP,28.89,GBP,,,,,,,EOF1197325173,,,
Market sell,2021-03-15 19:02:08,US6945521002,PMBC,Pacific Mercantile Bancorp,4,8.02,USD,1.38934,0.04,GBP,23.09,GBP,,,,,0,,EOF1197326349,,,GBP
Market sell,2021-03-15 19:02:09,US7194051022,PLAB,Photronics,3,12.08,USD,1.38957,-0.05,GBP,26.08,GBP,,,,,,,EOF1197326354,,,
Market sell,2021-03-15 19:08:30,US6496048405,NYMT,New York Mortgage Trust,5,4.66,USD,1.38938,0.93,GBP,16.77,GBP,,,,,,,EOF1197327884,,,
Market sell,2021-03-15 19:17:11,CA9237251058,VET,Vermilion Energy,5,8.54,USD,1.38906,0.49,GBP,30.74,GBP,,,,,,,EOF1197329921,,,
Market sell,2021-03-15 19:18:19,US00771V1089,AERI,Aerie Pharmaceuticals,2,20.84,USD,1.38887,0.04,GBP,30.01,GBP,,,,,,,EOF1197330222,,,
Market sell,2021-03-15 19:19:20,US13462K1097,CWH,Camping World,1,43.53,USD,1.38895,2.02,GBP,31.34,GBP,,,,,,,EOF1197330501,,,
Market sell,2021-03-15 19:46:55,US88688T1007,TLRY,Tilray Brands,1,30.34,USD,1.38983,1.39,GBP,21.83,GBP,,,,,,,EOF1197337789,,,
Withdrawal,2021-03-16 08:46:26,,,,,,,,,,-100,GBP,,,,,,Sent to card *9349,af54988e-4ac6-4e45-964a-abfe8e45d76c,,,
Market sell,2021-03-16 13:46:48,US88688T1007,TLRY,Tilray Brands,1,28.88,USD,1.38912,0.35,GBP,20.79,GBP,,,,,,,EOF1198564096,,,
Market sell,2021-03-16 14:24:58,US92766K4031,SPCE,Virgin Galactic,1,33.16,USD,1.38977,-0.03,GBP,23.86,GBP,,,,,,,EOF1202288145,,,
Withdrawal,2021-03-16 17:17:21,,,,,,,,,,-40,GBP,,,,,,Sent to card *9849,90f2a406-175a-4c46-ac5e-f53fce4a3ae6,,,
Market sell,2021-03-16 18:31:20,US81727U1051,SENS,Senseonics,10,2.9,USD,1.39022,-3.37,GBP,20.86,GBP,,,,,,,EOF1205123059,,,
Market sell,2021-03-16 18:31:59,US73102V1052,POLA,Polar Power,3,12.47,USD,1.39018,-4.17,GBP,26.91,GBP,,,,,,,EOF1205123241,,,
Market buy,2021-03-17 19:03:07,US89377M1099,TMDX,TransMedics,1,45.07,USD,1.39449,,GBP,32.32,GBP,,,,,,,EOF1208963861,,,
Market sell,2021-03-18 17:49:07,US38113L1070,GNOG,Golden Nugget Online Gaming,2,16.87,USD,1.39421,-1.68,GBP,24.2,GBP,,,,,,,EOF1213924995,,,
Market buy,2021-03-18 18:00:13,IL0011681371,NNOX,Nano-X Imaging,1,48.5,USD,1.39488,,GBP,34.77,GBP,,,,,,,EOF1213927493,,,
Market buy,2021-03-18 18:00:22,US2362721001,DNMR,Danimer Scientific,1,49.18,USD,1.39478,,GBP,35.26,GBP,,,,,,,EOF1213927541,,,
Market sell,2021-03-18 18:02:33,US05614L2097,BW,Babcock & Wilcox Enterprises,6,7.62,USD,1.39517,-0.85,GBP,32.77,GBP,,,,,0,,EOF1213927870,,,GBP
Market sell,2021-03-18 18:03:24,CA22717L1013,CRON,Cronos,4,10.08,USD,1.39467,-2.24,GBP,28.91,GBP,,,,,,,EOF1213928086,,,
Market sell,2021-03-18 19:49:09,US60879E2000,MNTS,Momentus,3,13.23,USD,1.39214,-7.84,GBP,28.51,GBP,,,,,,,EOF1213958845,,,
Market buy,2021-03-19 14:30:28,US81578P1066,SEER,Seer,1,50.97,USD,1.38382,,GBP,36.83,GBP,,,,,,,EOF1215903689,,,
Market buy,2021-03-19 18:29:04,US29667K6038,GMBL,Esports Entertainment,2,17.37,USD,1.38738,,GBP,25.04,GBP,,,,,,,EOF1217104613,,,
Market buy,2021-03-19 18:29:32,US29667K6038,GMBL,Esports Entertainment,1,17.38,USD,1.38707,,GBP,12.53,GBP,,,,,,,EOF1217104659,,,
Market buy,2021-03-19 18:37:55,US92536C1036,VERU,Veru,1,14.42,USD,1.38653,,GBP,10.4,GBP,,,,,,,EOF1217105628,,,
Market buy,2021-03-22 14:01:05,US5006001011,KOPN,Kopin,4,10.89,USD,1.38285,,GBP,31.5,GBP,,,,,,,EOF1220945752,,,
Market sell,2021-03-22 14:02:08,US88554D2053,DDD,3D Systems,1,28.3,USD,1.38318,-1.68,GBP,20.46,GBP,,,,,,,EOF1220946264,,,
Market buy,2021-03-22 14:05:29,US25058X3035,DM,Desktop Metal,2,20.98,USD,1.38299,,GBP,30.34,GBP,,,,,,,EOF1220948373,,,
Market sell,2021-03-22 14:07:25,US2362721001,DNMR,Danimer Scientific,1,48.61,USD,1.38371,1.22,GBP,35.13,GBP,,,,,0,,EOF1220949080,,,GBP
Market sell,2021-03-22 14:07:36,IL0011681371,NNOX,Nano-X Imaging,1,47,USD,1.38357,0.79,GBP,33.97,GBP,,,,,,,EOF1220949163,,,
Market sell,2021-03-22 14:07:36,IL0011681371,NNOX,Nano-X Imaging,1,47,USD,1.38357,0.79,GBP,33.97,GBP,,,,,,,EOF1220949164,,,
Market sell,2021-03-22 14:42:32,US2362721001,DNMR,Danimer Scientific,1,45.92,USD,1.38313,-0.7,GBP,33.2,GBP,,,,,0,,EOF1220965194,,,GBP
Withdrawal,2021-03-22 15:01:45,,,,,,,,,,-50.75,GBP,,,,,,Sent to card *0439,164e045e-19e4-44a0-ab39-207da8e39df3,,,
Market buy,2021-03-22 19:33:32,US55955D1000,MGNI,Magnite,1,52.25,USD,1.3863,,GBP,37.69,GBP,,,,,,,EOF1222988013,,,
Withdrawal,2021-03-23 14:44:17,,,,,,,,,,-100,GBP,,,,,,Sent to card *8608,292652df-9b4e-4df5-837d-5e764debb266,,,
Market sell,2021-03-24 14:35:38,US89377M1099,TMDX,TransMedics,1,43.97,USD,1.3702,-0.23,GBP,32.09,GBP,,,,,0,,EOF1228378009,,,GBP
Market sell,2021-03-24 14:35:50,US81578P1066,SEER,Seer,1,48.09,USD,1.37047,-1.74,GBP,35.09,GBP,,,,,0,,EOF1228378157,,,GBP
Market sell,2021-03-24 14:36:16,US03783T1034,APPHQ,AppHarvest,2,20.58,USD,1.37062,-2.45,GBP,30.03,GBP,,,,,,,EOF1228378324,,,
Market sell,2021-03-24 15:56:02,US92536C1036,VERU,Veru,3,12.71,USD,1.37207,-3.35,GBP,27.79,GBP,,,,,,,EOF1228406329,,,
Market sell,2021-03-24 15:56:10,US55955D1000,MGNI,Magnite,1,41.9,USD,1.37197,-7.15,GBP,30.54,GBP,,,,,,,EOF1228406393,,,
Market sell,2021-03-24 15:56:17,US5006001011,KOPN,Kopin,4,9.05,USD,1.37173,-5.11,GBP,26.39,GBP,,,,,,,EOF1228406440,,,
Market sell,2021-03-24 15:56:20,US29667K6038,GMBL,Esports Entertainment,3,15.45,USD,1.3717,-3.78,GBP,33.79,GBP,,,,,,,EOF1228406478,,,
Market sell,2021-03-24 15:56:29,US25058X3035,DM,Desktop Metal,2,17.5,USD,1.37147,-4.82,GBP,25.52,GBP,,,,,,,EOF1228406541,,,
Withdrawal,2021-03-24 15:56:47,,,,,,,,,,-265.29,GBP,,,,,,Sent to card *9349,d30de778-ba64-49be-ad0e-ebb6712f90bf,,,
Dividend (Ordinary),2021-04-01 07:43:30,US13462K1097,CWH,Camping World,1,0.2,USD,Not available,,,0.14,GBP,0.03,USD,,,,,,,,
Deposit,2021-04-02 18:06:18,,,,,,,,,,300,GBP,,,,,,Transaction ID: 6539173867778675,854597bf-3718-4035-98f5-c2f4632d684c,,,
Deposit,2021-04-03 16:33:33,,,,,,,,,,400,GBP,,,,,,Transaction ID: 1536174676124477,759c2890-a461-4348-893b-26987077fc64,,,
Deposit,2021-04-05 02:40:37,,,,,,,,,,100,GBP,,,,,,Transaction ID: 776aabcf-8f20-40ef-bd54-996b8155fa12,85b7c32d-cdf7-41bd-8c84-369a32bcce48,,,
Withdrawal,2021-04-06 11:22:47,,,,,,,,,,-800.14,GBP,,,,,,,78184367-64e6-4f66-9849-4bbf572d4262,,,
Dividend (Ordinary),2021-04-06 12:40:42,US05990K1060,BANC,Banc of California,2,0.05,USD,Not available,,,0.07,GBP,0.02,USD,,,,,,,,
Dividend (Ordinary),2021-04-06 13:06:33,US1912161007,KO,Coca-Cola,0.026867,0.36,USD,Not available,,,0.01,GBP,0,USD,,,,,,,,
Deposit,2021-04-20 17:55:58,,,,,,,,,,147.22,GBP,,,,,,,edacceec-cbff-40a8-bb65-d852309dccc3,,,
Market buy,2021-04-20 19:45:46,IE00B4BNMY34,ACN,Accenture,0.5,288.8,USD,1.39409,,GBP,103.74,GBP,,,,,,,EOF1295767367,0.16,GBP,
Deposit,2021-04-21 18:55:12,,,,,,,,,,77.59,GBP,,,,,,,d57617b6-d308-404b-b416-f2ce1d53902e,,,
Market buy,2021-04-21 19:01:44,US04963C2098,ATRC,AtriCure,2,69.9,USD,1.39243,,GBP,100.55,GBP,,,,,,,EOF1296798181,0.15,GBP,
Deposit,2021-04-22 17:50:12,,,,,,,,,,248.91,GBP,,,,,,,b2dafb2b-21e9-4e11-a126-c6fb7a2bbf7c,,,
Market buy,2021-04-22 17:55:49,US5917741044,MCB,Metropolitan Bank,3,57.67,USD,1.38327,,GBP,125.26,GBP,,,,,,,EOF1298982436,0.19,GBP,
Market sell,2021-04-22 18:02:57,US5917741044,MCB,Metropolitan Bank,3,57.31,USD,1.38318,-0.77,GBP,124.11,GBP,,,,,0,,EOF1298983808,0.19,GBP,GBP
Market buy,2021-04-22 18:20:08,US5917741044,MCB,Metropolitan Bank,3,57.67,USD,1.38275,,GBP,125.31,GBP,,,,,,,EOF1298986841,0.19,GBP,
Market buy,2021-04-22 18:43:09,US5500211090,LULU,Lululemon Athletica,0.5,337.6,USD,1.38303,,GBP,122.23,GBP,,,,,,,EOF1298989355,0.18,GBP,
Market sell,2021-04-23 18:30:41,US04963C2098,ATRC,AtriCure,2,69.62,USD,1.38712,-0.02,GBP,100.23,GBP,,,,,0,,EOF1301233030,0.15,GBP,GBP
Market sell,2021-04-23 19:48:04,US5917741044,MCB,Metropolitan Bank,1,61.09,USD,1.38872,2.28,GBP,43.92,GBP,,,,,0,,EOF1301240283,0.07,GBP,GBP
Withdrawal,2021-04-27 07:17:23,,,,,,,,,,-144.09,GBP,,,,,,,7b160e44-1928-4bb9-b999-6656930c485d,,,
Withdrawal,2021-04-27 07:18:45,,,,,,,,,,-20.88,GBP,,,,,,,c54c5b59-6496-4f45-93c7-7bf0598bb159,,,
Deposit,2021-04-27 23:55:39,,,,,,,,,,1,GBP,,,,,,Transaction ID: 8da58517-7887-439c-a4f2-7d59c4433c1d,5fc80a55-cb76-4b64-a5e7-f94c30174ee2,,,
Deposit,2021-04-28 10:59:36,,,,,,,,,,53.66,GBP,,,,,,,c2e2035b-55f0-4dcb-8ce5-70d8933eb222,,,
Deposit,2021-04-28 11:02:07,,,,,,,,,,50,GBP,,,,,,Transaction ID: ced8356c-6e61-4506-a03b-38923ec4f5ba,ab480ae2-f4c2-4635-8735-8a2b6cf83a19,,,
Market sell,2021-04-28 15:55:15,US5917741044,MCB,Metropolitan Bank,2,60.12,USD,1.39198,2.97,GBP,86.25,GBP,,,,,0,,EOF1309735824,0.13,GBP,GBP
Market sell,2021-04-28 15:55:46,US5500211090,LULU,Lululemon Athletica,0.5,340.63,USD,1.39203,0.3,GBP,122.17,GBP,,,,,,,EOF1309735940,0.18,GBP,
Market sell,2021-04-28 15:55:53,IE00B4BNMY34,ACN,Accenture,0.5,290.68,USD,1.39214,0.82,GBP,104.24,GBP,,,,,,,EOF1309735950,0.16,GBP,
Limit buy,2021-04-29 13:37:52,US65249B2088,NWS,News Corp,5,24.35,USD,1.39493,,GBP,87.41,GBP,,,,,,,EOF1310703533,0.13,GBP,
Market sell,2021-04-29 17:15:19,US65249B2088,NWS,News Corp,5,24.31,USD,1.39488,-0.14,GBP,87.01,GBP,,,,,0,,EOF1311803857,0.13,GBP,GBP
Deposit,2021-04-30 15:33:24,,,,,,,,,,920.23,GBP,,,,,,,dea1607a-027c-4df2-8202-bbd913ae8e11,,,
Market buy,2021-04-30 16:45:59,US0044981019,ACIW,ACI Worldwide,3,38.11,USD,1.38313,,GBP,82.78,GBP,,,,,,,EOF1313904605,0.12,GBP,
Market buy,2021-04-30 18:40:14,US17275R1023,CSCO,Cisco Systems,2,50.6,USD,1.38138,,GBP,73.37,GBP,,,,,,,EOF1313916669,0.11,GBP,
Limit buy,2021-05-03 13:30:38,CA1366351098,CSIQ,Canadian Solar,1,41.3,USD,1.38916,,GBP,29.77,GBP,,,,,,,EOF1315111238,0.04,GBP,
Limit buy,2021-05-03 13:30:38,CA1366351098,CSIQ,Canadian Solar,2,41.3,USD,1.38916,,GBP,59.55,GBP,,,,,,,EOF1315111240,0.09,GBP,
Limit buy,2021-05-03 13:30:45,US3596641098,FLGT,Fulgent Genetics,2,77.1,USD,1.38931,,GBP,111.16,GBP,,,,,,,EOF1315111541,0.17,GBP,
Market sell,2021-05-03 13:39:11,US0044981019,ACIW,ACI Worldwide,3,38.12,USD,1.3897,-0.38,GBP,82.16,GBP,,,,,0,,EOF1316268163,0.12,GBP,GBP
Market sell,2021-05-03 13:39:30,US17275R1023,CSCO,Cisco Systems,2,51.2,USD,1.38979,0.42,GBP,73.57,GBP,,,,,,,EOF1316268324,0.11,GBP,
Limit buy,2021-05-04 13:30:01,US0079731008,AEIS,Advanced Energy Industries,1,106.29,USD,1.3847,,GBP,76.88,GBP,,,,,,,EOF1318545598,0.12,GBP,